long;str;str
113;Chains of Ice;"Forms icy chains around the enemy; locking the target in place for $d."
116;Frostbolt;"Launches a bolt of frost at the enemy; causing ${$m2*$<mult>} to ${$M2*$<mult>} Frost damage and slowing movement speed by $s1% for $d."
118;Polymorph;"Transforms the enemy into a sheep; forcing it to wander around for up to $d.  While wandering; the sheep cannot attack or cast spells but will regenerate very quickly.  Any damage will transform the target back into its normal form.  Only one target can be polymorphed at a time.  Only works on Beasts; Humanoids and Critters."
120;Cone of Cold;Targets in a cone in front of the caster take ${$m2*$<mult>} to ${$M2*$<mult>} Frost damage and are slowed by $s1% for $d.
122;Frost Nova;Blasts enemies near the caster for ${$m1*$<mult>} to ${$M1*$<mult>} Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.
124;Holy Hand Grenade of the Resistance;Blesses all targets with a holy infusion of power or curse them with the bane of all raiders.
126;Eye of Kilrogg;Summons an Eye of Kilrogg and binds your vision to it.  The eye moves quickly but is very fragile.
130;Slow Fall;Slows friendly party or raid target's falling speed for $d.
131;Water Breathing;Allows the target to breathe underwater for $d.
132;Detect Invisibility;Allows the friendly target to detect lesser invisibility for $d.
133;Fireball;Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.
134;Fire Shield;Surrounds an ally with a shield of flame that inflicts $3052s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.
136;Mend Pet;Heals your pet for $<total> health over $d.
139;Renew;Heals the target for $<total> over $d.
142;New Magic Missile (Test);
143;Fireball;Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.
145;Fireball;Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.
168;Frost Armor;"Increases Armor by $s1.  If an enemy strikes the caster; they may have their movement slowed by $6136s1% and the time between their attacks increased by $6136s2% for $6136d.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d."
172;Corruption;"Corrupts the target; causing $o1 Shadow damage over $d."
184;Fire Shield II;Surrounds an ally with a shield of flame that inflicts $3053s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.
196;One-Handed Axes;
197;Two-Handed Axes;
198;One-Handed Maces;
199;Two-Handed Maces;
200;Polearms;
201;One-Handed Swords;
202;Two-Handed Swords;
203;Unarmed;
204;Defense;
205;Frostbolt;"Launches a bolt of frost at the enemy; causing ${$m2*$<mult>} to ${$M2*$<mult>} Frost damage and slowing movement speed by $s1% for $d."
227;Staves;
228;Polymorph: Chicken;"Transforms the enemy into a chicken that cannot cast; and does $s3% less damage for up to $d."
246;Slow;Slows the enemy's movement by $s2% and their attack speed by $s1% for $d.
260;Charm (TEST);
261;Summon Skeleton;
264;Bows;
265;Area Death (TEST);Kills all enemies in a 30 yard radius.  Cheater.
266;Guns;
269;Walk of Fire Trigger (DNC);
271;Call of the Void;
284;Heroic Strike;A strong attack that increases melee damage by $s1 and causes a high amount of threat.
285;Heroic Strike;A strong attack that increases melee damage by $s1 and causes a high amount of threat.
324;Lightning Shield;"The caster is surrounded by $n balls of lightning.  When a spell; melee or ranged attack hits the caster; the attacker will be struck for $26364s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time."
325;Lightning Shield;"The caster is surrounded by $n balls of lightning.  When a spell; melee or ranged attack hits the caster; the attacker will be struck for $26365s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time."
331;Healing Wave;Heals a friendly target for $s1.
332;Healing Wave;Heals a friendly target for $s1.
339;Entangling Roots;Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.
348;Immolate;Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.
355;Taunt;"Taunts the target to attack you; but has no effect if the target is already attacking you."
370;Purge;"Purges the enemy target; removing $m1 beneficial magic $leffect:effects;."
379;Earth Shield;"Protects the target with an earthen shield; giving a chance of ignoring spell interruption when damaged and causing attacks to heal the shielded target.  This effect can only occur once every few seconds.  Limited charges. Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time."
403;Lightning Bolt;Casts a bolt of lightning at the target for $s1 Nature damage.
408;Kidney Shot;"Finishing move that stuns the target.  Lasts longer per combo point:

   1 point  : 1 second

   2 points: 2 seconds

   3 points: 3 seconds

   4 points: 4 seconds

   5 points: 5 seconds"
421;Chain Lightning;"Hurls a lightning bolt at the enemy; dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by 30%.  Affects $x1 total targets."
427;Teleport Monastery;Teleport to the Monastery!!!
428;Teleport Moonbrook;
430;Drink;Restores ${$m2/5*18} mana over $d.  Must remain seated while drinking.
431;Drink;Restores ${$m2/5*21} mana over $d.  Must remain seated while drinking.
432;Drink;Restores ${$m2/5*24} mana over $d.  Must remain seated while drinking.
433;Food;Restores $o1 health over $d.  Must remain seated while eating.
434;Food;Restores $o1 health over $d.  Must remain seated while eating.
435;Food;Restores $o1 health over $d.  Must remain seated while eating.
436;Restore Mana;Restores $s1 mana.
437;Restore Mana;Restores $s1 mana.
438;Restore Mana;Restores $s1 mana.
439;Healing Potion;Restores $s1 health.
440;Healing Potion;Restores $s1 health.
441;Healing Potion;Restores $s1 health.
442;Teleport Northshire Abbey;Teleport to Northshire Abbey!!!
443;Teleport Barracks;Teleport to the Barracks!!!
444;Teleport Lighthouse;Teleport to the Lighthouse!!!
445;Teleport Darkshire;Teleport to Darkshire!!!
446;Teleport Cemetary;Teleport to the Cemetary!!!
447;Teleport Treant;Teleport to the Treant!!!
448;Editor test spell 2;
453;Mind Soothe;"Soothes the target; reducing the range at which it will attack you by $s1 yards.  Only affects Humanoid targets.  Lasts $d."
454;Gallop (TEST);
456;SHOWLABEL Only OFF;
457;Feeblemind;
458;Brown Horse;Summons and dismisses a rideable Brown Horse.
459;Gray Wolf;Summons and dismisses a rideable gray wolf.
461;Righteous Flame On;
463;Aura Overlap TEST 1;
464;Aura Overlap TEST 2;
465;Devotion Aura;Gives $s1 additional armor to party and raid members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.
467;Thorns;Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.
468;White Stallion;Summons and dismisses a rideable White Stallion.
469;Commanding Shout;Increases maximum health of all party and raid members within $a1 yards by $s1.  Lasts $d.
470;Black Stallion;Summons and dismisses a rideable Black Stallion.
471;Palamino;Summons and dismisses a rideable Palomino.
472;Pinto;Summons and dismisses a rideable Pinto.
475;Remove Curse;Removes $m1 Curse from a friendly target.
483;Learning;
491;Khadgar's Unlocking;Magically unlocks treasure chests and other locked items.
498;Divine Protection;"Reduces all damage taken by $s2% for $d.  Once protected; the target cannot be targeted by Divine Shield; Divine Protection; or Hand of Protection again for $25771d.  Cannot be used within $61987d of using Avenging Wrath."
512;Chains of Ice;"Forms icy chains around the enemy; locking the target in place for $d."
514;Wyatt Test;
518;Summon Worm;Summons a Spawn of Fankriss from the depths of Ahn'Qiraj.
522;SPELLDEFENSE (DND);
526;Cure Toxins;"Cures $s1 poison $leffect:effects; and $s1 disease $leffect:effects; on a friendly target."
527;Dispel Magic;"Dispels magic on the target; removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy."
528;Cure Disease;"Removes $s1 $ldisease:diseases; from the friendly target."
529;Lightning Bolt;Casts a bolt of lightning at the target for $s1 Nature damage.
530;Charm (Possess);
543;Fire Ward;Absorbs $s1 Fire damage.  Lasts $d.
546;Water Walking;Allows the friendly target to walk across water for $d.  Any damage will cancel the effect.
547;Healing Wave;Heals a friendly target for $s1.
548;Lightning Bolt;Casts a bolt of lightning at the target for $s1 Nature damage.
550;Nullify Poison;Target is immune to poison for $d and is cured of any existing poisons.
552;Abolish Disease;"Attempts to cure $s2 disease effect on the target; and $10872s1 more disease effect every $t1 seconds for $d."
553;Wavestorm 2;
555;Feral Spirit;
556;Astral Recall;Yanks the caster through the twisting nether back to $z.  Speak to an Innkeeper in a different place to change your home location.
563;Moonfire;Teaches Moonfire (Rank 6).
568;Arcane Burst;"Deals $s1 Arcane damage to all enemies within $a1 yards; reducing their movement speed by $s3% and knocking them back."
578;Black Wolf;Summons and dismisses a rideable black wolf.
579;Red Wolf;Summons and dismisses a rideable red wolf.
580;Timber Wolf;Summons and dismisses a rideable Timber Wolf.
581;Winter Wolf;Summons and dismisses a rideable winter wolf.
585;Smite;Smite an enemy for $s1 Holy damage.
586;Fade;"Fade out; temporarily reducing all your threat for $d."
587;Conjure Food;"Conjures $s1 $lmuffin:muffins;; providing the mage and $ghis:her; allies with something to eat.



Conjured items disappear if logged out for more than 15 minutes."
588;Inner Fire;"A burst of Holy energy fills the caster; increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used."
589;Shadow Word: Pain;A word of darkness that causes $o1 Shadow damage over $d.
591;Smite;Smite an enemy for $s1 Holy damage.
592;Power Word: Shield;"Draws on the soul of the friendly target to shield them; absorbing $s1 damage.  Lasts $d.  While the shield holds; spellcasting will not be interrupted by damage.  Once shielded; the target cannot be shielded again for $6788d."
594;Shadow Word: Pain;A word of darkness that causes $o1 Shadow damage over $d.
596;Prayer of Healing;A powerful prayer heals the friendly target's party members within $a1 yards for $s1.
597;Conjure Food;"Conjures $s1 $lloaf:loaves; of bread; providing the mage and $ghis:her; allies with something to eat.



Conjured items disappear if logged out for more than 15 minutes."
598;Smite;Smite an enemy for $s1 Holy damage.
600;Power Word: Shield;"Draws on the soul of the friendly target to shield them; absorbing $s1 damage.  Lasts $d.  While the shield holds; spellcasting will not be interrupted by damage.  Once shielded; the target cannot be shielded again for $6788d."
601;Sword Mastery;Increases your attack rating with One-Handed Swords by $s1.
602;Inner Fire;"A burst of Holy energy fills the caster; increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used."
603;Curse of Doom;"Curses the target with impending doom; causing $s1 Shadow damage after $d.  If the target yields experience or honor when it dies from this damage; a Doomguard will be summoned.  Cannot be cast on players."
604;Dampen Magic;"Dampens magic used against the targeted party member; decreasing damage taken from spells by up to $s1 and healing spells by up to $s2.  Lasts $d."
605;Mind Control;"Controls a humanoid mind up to level $s1; but increases the time between its attacks by $s3%.  Lasts up to $d."
606;Mind Rot;Drains $o1 mana from the target over $d.
633;Lay on Hands;"Heals a friendly target for an amount equal to the Paladin's maximum health.  If used on self; the Paladin cannot be targeted by Divine Shield; Divine Protection; Hand of Protection; or self-targeted Lay on Hands again for $25771d.  Also cannot be used on self within $61987d of using Avenging Wrath."
635;Holy Light;Heals a friendly target for $s1.
639;Holy Light;Heals a friendly target for $s1.
642;Divine Shield;"Protects the paladin from all damage and spells for $d; but reduces all damage you deal by $s1%.  Once protected; the target cannot be targeted by Divine Shield; Divine Protection; or Hand of Protection again for $25771d.  Cannot be used within $61987d. of using Avenging Wrath."
643;Devotion Aura;Gives $s1 additional armor to party and raid members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.
647;Holy Light;Heals a friendly target for $s1.
668;Language Common;
669;Language Orcish;
670;Language Taurahe;
671;Language Darnassian;
672;Language Dwarven;
673;Lesser Armor;Increases armor by $s1 for $d.  Guardian Elixir.
674;Dual Wield;Allows one-hand and off-hand weapons to be equipped in the off-hand.
676;Disarm;Disarm the enemy's main hand and ranged weapons for $d.
686;Shadow Bolt;"Sends a shadowy bolt at the enemy; causing $s1 Shadow damage."
687;Demon Skin;"Protects the caster; increasing armor by $s1; and increasing the amount of health generated through spells and effects by $s2%. Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d."
688;Summon Imp;Summons an Imp under the command of the Warlock.
689;Drain Life;Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.
691;Summon Felhunter;Summons a Felhunter under the command of the Warlock.
692;Terror (TEST);
693;Create Soulstone;"Creates a Minor Soulstone.  The Soulstone can be used to store one target's soul.  If the target dies while his soul is stored; he will be able to resurrect with $3026s1 health and $3026q1 mana.



Conjured items disappear if logged out for more than 15 minutes."
694;Mocking Blow;"A mocking attack that causes a moderate amount of threat and forces the target to focus attacks on you for $d.  If the target is tauntable; also deals weapon damage."
695;Shadow Bolt;"Sends a shadowy bolt at the enemy; causing $s1 Shadow damage."
696;Demon Skin;"Protects the caster; increasing armor by $s1; and increasing the amount of health generated through spells and effects by $s2%. Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d."
697;Summon Voidwalker;Summons a Voidwalker under the command of the Warlock.
698;Ritual of Summoning;"Begins a ritual that creates a summoning portal.  The summoning portal can be used by 2 party or raid members to summon a targeted party or raid member.  The ritual portal requires the caster and 2 additional party or raid members to complete.  In order to participate; all players must be out of combat and right-click the portal and not move until the ritual is complete."
699;Drain Life;Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.
700;Sleep;Puts the enemy target to sleep for up to $d.  Any damage caused will awaken the target.  Only one target can be asleep at a time. Unreliable on targets above level 30.
701;Firebolt;Blasts a target for $s1 Fire damage.
702;Curse of Weakness;Target's melee attack power is reduced by $s1 and armor is reduced by $s2% for $d.  Only one Curse per Warlock can be active on any one target.
703;Garrote;"Garrote the enemy; causing ${($m1+$AP*0.07)*6} damage over $d; increased by your attack power.  Must be stealthed and behind the target.  Awards $s2 combo $lpoint:points;."
705;Shadow Bolt;"Sends a shadowy bolt at the enemy; causing $s1 Shadow damage."
706;Demon Armor;"Protects the caster; increasing armor by $s1; and increasing the amount of health generated through spells and effects by $s2%. Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d."
707;Immolate;Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.
709;Drain Life;Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.
710;Banish;"Banishes the enemy target; preventing all action but making it invulnerable for up to $d.  Only one target can be banished at a time.  Casting Banish on a banished target will cancel the spell.  Only works on Demons and Elementals."
712;Summon Succubus;Summons a Succubus under the command of the Warlock.
720;Entangle;"The lair of Fankriss the Unyielding pulls the target into the path of nearby silithid hatchlings; rooting it for $d."
724;Lightwell;Creates a Holy Lightwell.  Friendly players can click the Lightwell to restore ${$7001m1*3*$<mult>} health over $7001d.  Attacks done to you equal to 30% of your total health will cancel the effect. Lightwell lasts for $d or 10 charges.
731;Entangle;"The lair of Fankriss the Unyielding pulls the target into the path of nearby silithid hatchlings; rooting it for $d."
739;Debuff Fire Resist (TEST);
740;Tranquility;Heals all nearby group members for $s1 every $t2 seconds for $d.  Druid must channel to maintain the spell.
742;Pulverize;
744;Poison;Inflicts Nature damage to an enemy every $t1 sec. for $d.
745;Web;"Casts a web over an enemy; immobilizing it for $d."
746;First Aid;Heals $o1 damage over $d.
747;Summon Images;Summons $s1 copies of the caster.
750;Plate Mail;
755;Health Funnel;Gives $s1 health to the caster's pet every second for $d as long as the caster channels.
759;Conjure Mana Gem;Conjures a mana agate that can be used to instantly restore $5405s1 mana.
768;Cat Form;"Shapeshift into cat form; increasing melee attack power by $3025s1 plus Agility.  Also protects the caster from Polymorph effects and allows the use of various cat abilities.



The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects."
769;Swipe (Bear);"Swipe nearby enemies; inflicting $s1 damage.  Damage increased by attack power."
770;Faerie Fire;"Decrease the armor of the target by $s1% for $d.  While affected; the target cannot stealth or turn invisible."
772;Rend;Wounds the target causing them to bleed for $o1 damage plus an additional ${0.2*5*(($MWB+$mwb)/2+$AP/14*$MWS)} (based on weapon damage) over $d.
774;Rejuvenation;Heals the target for ${$m1*5*$<mult>} over $d.
779;Swipe (Bear);"Swipe nearby enemies; inflicting $s1 damage.  Damage increased by attack power."
780;Swipe (Bear);"Swipe nearby enemies; inflicting $s1 damage.  Damage increased by attack power."
781;Disengage;"You attempt to disengage from combat; leaping backwards. Can only be used while in combat."
782;Thorns;Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.
783;Travel Form;"Shapeshift into travel form; increasing movement speed by $5419s1%.  Also protects the caster from Polymorph effects.  Only useable outdoors.



The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects."
785;True Fulfillment;"Converted by the powers of the Prophet Skeram; the target is converted and filled with divine power. While converted; the target's spells are cast instantly; damage is increased by $s2%; all resistances increased by $2313s2 and movement speed is increased by $2313s3%.Lasts $d."
799;Twin Teleport;
800;Twin Teleport;
802;Mutate Bug;Increases the health and damage of a nearby scarab.
804;Explode Bug;"Infuses a scarab with energy; causing it to explode after $t1 sec."
806;Fervor;Increases Strength by $s1 and does $s2 damage to you every $m2 sec for $d.
812;Periodic Mana Burn;Periodically casts mana burn.
813;Language Thalassian;
814;Language Draconic;
815;Language Demon Tongue;
816;Language Titan;
817;Language Old Tongue (NYI);
818;Basic Campfire;Builds a campfire that increases the spirits of those nearby by 4 and allows cooking.
822;Magic Resistance;Reduces the chance you will be hit by spells by $s1%.
823;Natural Resistance;
824;Horse Riding;
825;Wolf Riding;
826;Ram Riding;
827;Nightmare Riding;Increases riding speed by $s1.
828;Tiger Riding;
829;Thickskull;
830;Fearless;
831;Swimming (NYI);
833;Green Tea;Instantly heals $s1 damage.  Also restores $o2 mana over $d.  Must remain seated while drinking.
834;Lesser Armor;Increases armor by $s1 for $d.  Guardian Elixir.
835;Tidal Charm;Stuns target for $d.  Increased chance to be resisted when used against targets over level 60.
836;LOGINEFFECT;
837;Frostbolt;"Launches a bolt of frost at the enemy; causing ${$m2*$<mult>} to ${$M2*$<mult>} Frost damage and slowing movement speed by $s1% for $d."
845;Cleave;A sweeping attack that does your weapon damage plus $s1 to the target and his $?s58366[two nearest allies][nearest ally].
851;Polymorph: Sheep;Transforms the enemy into a helpless sheep that cannot cast spells or attack and movement speed is reduced by $s2% for up to $d.
853;Hammer of Justice;Stuns the target for $d and interrupts non-player spellcasting for $32747d.
857;Khadgar's Unlocking;Magically unlocks treasure chests and other locked items.
865;Frost Nova;Blasts enemies near the caster for ${$m1*$<mult>} to ${$M1*$<mult>} Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.
871;Shield Wall;Reduces all damage taken by $s1% for $d.
879;Exorcism;"Causes ${$m1+0.15*$SPH+0.15*$AP} to ${$M1+0.15*$SPH+0.15*$AP} Holy damage to an enemy target.  If the target is Undead or Demon; it will always critically hit."
883;Call Pet;Summons your pet to you.
897;Summon Angry Programmer;
898;Create Fervor Potion;Creates a Potion of Fervor.
905;Lightning Shield;"The caster is surrounded by $n balls of lightning.  When a spell; melee or ranged attack hits the caster; the attacker will be struck for $26366s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time."
913;Healing Wave;Heals a friendly target for $s1.
915;Lightning Bolt;Casts a bolt of lightning at the target for $s1 Nature damage.
921;Pick Pocket;Pick the target's pocket.
930;Chain Lightning;"Hurls a lightning bolt at the enemy; dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by 30%.  Affects $x1 total targets."
932;Replenish Spirit II;Restores target's mana.
939;Healing Wave;Heals a friendly target for $s1.
943;Lightning Bolt;Casts a bolt of lightning at the target for $s1 Nature damage.
945;Lightning Shield;"The caster is surrounded by $n balls of lightning.  When a spell; melee or ranged attack hits the caster; the attacker will be struck for $26367s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time."
952;Glacier;
959;Healing Wave;Heals a friendly target for $s1.
970;Shadow Word: Pain;A word of darkness that causes $o1 Shadow damage over $d.
974;Earth Shield;"Protects the target with an earthen shield; reducing casting or channeling time lost when damaged by $s2%  and causing attacks to heal the shielded target for $<heal>.  This effect can only occur once every few seconds.  $n charges.  Lasts $d.  Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time."
976;Shadow Protection;Increases the target's resistance to Shadow spells by $s1 for $d.
980;Curse of Agony;"Curses the target with agony; causing $o1 Shadow damage over $d.  This damage is dealt slowly at first; and builds up as the Curse reaches its full duration.  Only one Curse per Warlock can be active on any one target."
982;Revive Pet;"Revive your pet; returning it to life with $s1% of its base health."
984;Smite;Smite an enemy for $s1 Holy damage.
988;Dispel Magic;"Dispels magic on the target; removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy."
990;Conjure Food;"Conjures $s1 $lloaf:loaves; of rye; providing the mage and $ghis:her; allies with something to eat.



Conjured items disappear if logged out for more than 15 minutes."
992;Shadow Word: Pain;A word of darkness that causes $o1 Shadow damage over $d.
996;Prayer of Healing;A powerful prayer heals the friendly target's party members within $a1 yards for $s1.
1002;Eyes of the Beast;Take direct control of your pet and see through its eyes for $d.
1004;Smite;Smite an enemy for $s1 Holy damage.
1006;Inner Fire;"A burst of Holy energy fills the caster; increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used."
1008;Amplify Magic;"Amplifies magic used against the targeted party member; increasing damage taken from spells by up to $s1 and healing spells by up to $s2.  Lasts $d."
1010;Curse of Idiocy;"Curse the target with idiocy; reducing Intellect and Spirit by $s1 every $t3 seconds until each is reduced by a total of $*15;s1.  Only one Curse per Warlock can be active on any one target."
1014;Curse of Agony;"Curses the target with agony; causing $o1 Shadow damage over $d.  This damage is dealt slowly at first; and builds up as the Curse reaches its full duration.  Only one Curse per Warlock can be active on any one target."
1022;Hand of Protection;"A targeted party or raid member is protected from all physical attacks for $d; but during that time they cannot attack or use physical abilities.  Players may only have one Hand on them per Paladin at any one time.  Once protected; the target cannot be targeted by Divine Shield; Divine Protection; or Hand of Protection again for $25771d.  Cannot be targeted on players who have used Avenging Wrath within the last $61987d."
1026;Holy Light;Heals a friendly target for $s1.
1032;Devotion Aura;Gives $s1 additional armor to party and raid members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.
1035;Fire Ward;
1038;Hand of Salvation;"Places a Hand on the party or raid member; reducing their total threat by $53055s1% every $t1 sec. for $d.  Players may only have one Hand on them per Paladin at any one time."
1042;Holy Light;Heals a friendly target for $s1.
1044;Hand of Freedom;"Places a Hand on the friendly target; granting immunity to movement impairing effects for $d.  Players may only have one Hand on them per Paladin at any one time."
1050;Sacrifice;
1058;Rejuvenation;Heals the target for ${$m1*5*$<mult>} over $d.
1062;Entangling Roots;Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.
1064;Chain Heal;"Heals the friendly target for $s1; then jumps to heal additional nearby targets.  If cast on a party member; the heal will only jump to other party members.  Each jump reduces the effectiveness of the heal by 40%.  Heals $x1 total targets."
1066;Aquatic Form;"Shapeshift into aquatic form; increasing swim speed by $5421s1% and allowing the druid to breathe underwater.  Also protects the caster from Polymorph effects.



The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects."
1075;Thorns;Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.
1079;Rip;"Finishing move that causes damage over time.  Damage increases per combo point and by your attack power:

   1 point: ${($m1+$b1*1+0.01*$AP)*$<dur>} damage over $d.

   2 points: ${($m1+$b1*2+0.02*$AP)*$<dur>} damage over $d.

   3 points: ${($m1+$b1*3+0.03*$AP)*$<dur>} damage over $d.

   4 points: ${($m1+$b1*4+0.04*$AP)*$<dur>} damage over $d.

   5 points: ${($m1+$b1*5+0.05*$AP)*$<dur>} damage over $d."
1082;Claw;"Claw the enemy; causing $s1 additional damage.  Awards $s2 combo $lpoint:points;."
1086;Demon Armor;"Protects the caster; increasing armor by $s1; and increasing the amount of health generated through spells and effects by $s2%. Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d."
1088;Shadow Bolt;"Sends a shadowy bolt at the enemy; causing $s1 Shadow damage."
1090;Sleep;Puts the enemy target to sleep for up to $d.  Any damage caused will awaken the target.  Only one target can be asleep at a time.
1094;Immolate;Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.
1098;Enslave Demon;"Enslaves the target demon; up to level $m1; forcing it to do your bidding.  While enslaved; the time between the demon's attacks is increased by $s2% and its casting speed is slowed by $s3%.  Lasts up to $d."
1106;Shadow Bolt;"Sends a shadowy bolt at the enemy; causing $s1 Shadow damage."
1108;Curse of Weakness;Target's melee attack power is reduced by $s1 and armor is reduced by $s2% for $d.  Only one Curse per Warlock can be active on any one target.
1120;Drain Soul;"Drains the soul of the target; causing $o2 Shadow damage over $d.  If the target is at or below 25% health; Drain Soul causes four times the normal damage. If the target dies while being drained; and yields experience or honor; the caster gains a Soul Shard.  Each time the Drain Soul damages the target; it also has a chance to generate a Soul Shard.  Soul Shards are required for other spells."
1121;Entangle;"The lair of Fankriss the Unyielding pulls the target into the path of nearby silithid hatchlings; rooting it for $d."
